Gmt time,Open,High,Low,Close,Volume
01.07.2022 00:00:00.000,1.21597,1.21600,1.21573,1.21574,116669998.1689
01.07.2022 00:01:00.000,1.21574,1.21576,1.21547,1.21552,128229995.7275
01.07.2022 00:02:00.000,1.21553,1.21579,1.21549,1.21558,189750000
01.07.2022 00:03:00.000,1.21559,1.21582,1.21555,1.21566,193380004.8828
01.07.2022 00:04:00.000,1.21566,1.21582,1.21557,1.21577,153210006.7139
01.07.2022 00:05:00.000,1.21577,1.21610,1.21576,1.21585,212690002.4414
01.07.2022 00:06:00.000,1.21586,1.21588,1.21555,1.21567,141279998.7793
01.07.2022 00:07:00.000,1.21568,1.21579,1.21564,1.21567,156669998.1689
01.07.2022 00:08:00.000,1.21568,1.21568,1.21556,1.21557,159649993.8965
01.07.2022 00:09:00.000,1.21556,1.21558,1.21536,1.21550,120290000.9155
01.07.2022 00:10:00.000,1.21550,1.21558,1.21546,1.21550,121129997.2534
01.07.2022 00:11:00.000,1.21549,1.21549,1.21539,1.21540,86639999.3896
01.07.2022 00:12:00.000,1.21545,1.21554,1.21535,1.21541,73230003.3569
01.07.2022 00:13:00.000,1.21542,1.21550,1.21535,1.21538,99839996.3379
01.07.2022 00:14:00.000,1.21537,1.21549,1.21531,1.21533,61040000.9155
01.07.2022 00:15:00.000,1.21534,1.21559,1.21531,1.21548,67419998.1689
01.07.2022 00:16:00.000,1.21548,1.21569,1.21540,1.21569,44250000
01.07.2022 00:17:00.000,1.21568,1.21568,1.21539,1.21539,50970001.2207
01.07.2022 00:18:00.000,1.21540,1.21563,1.21540,1.21557,41889999.3896
01.07.2022 00:19:00.000,1.21558,1.21565,1.21551,1.21564,35240001.6785
01.07.2022 00:20:00.000,1.21567,1.21570,1.21559,1.21560,19750000
01.07.2022 00:21:00.000,1.21561,1.21562,1.21542,1.21549,39189998.6267
01.07.2022 00:22:00.000,1.21546,1.21556,1.21545,1.21549,91410003.6621
01.07.2022 00:23:00.000,1.21550,1.21575,1.21550,1.21575,148119995.1172
01.07.2022 00:24:00.000,1.21576,1.21592,1.21574,1.21588,83919998.1689
01.07.2022 00:25:00.000,1.21585,1.21588,1.21558,1.21560,37340000.1526
01.07.2022 00:26:00.000,1.21564,1.21567,1.21546,1.21549,12760000.2289
01.07.2022 00:27:00.000,1.21547,1.21549,1.21545,1.21548,6480000.0191
01.07.2022 00:28:00.000,1.21548,1.21565,1.21548,1.21564,25889999.3896
01.07.2022 00:29:00.000,1.21562,1.21579,1.21556,1.21575,25520000.4578
01.07.2022 00:30:00.000,1.21576,1.21579,1.21557,1.21557,96650001.5259
01.07.2022 00:31:00.000,1.21557,1.21562,1.21554,1.21558,88910003.6621
01.07.2022 00:32:00.000,1.21557,1.21557,1.21506,1.21507,124819999.6948
01.07.2022 00:33:00.000,1.21511,1.21511,1.21496,1.21506,78919998.1689
01.07.2022 00:34:00.000,1.21505,1.21516,1.21504,1.21505,69300003.0518
01.07.2022 00:35:00.000,1.21507,1.21527,1.21505,1.21520,123180000.3052
01.07.2022 00:36:00.000,1.21518,1.21520,1.21504,1.21506,69319999.6948
01.07.2022 00:37:00.000,1.21508,1.21526,1.21505,1.21518,59779998.7793
01.07.2022 00:38:00.000,1.21519,1.21520,1.21498,1.21506,61520000.4578
01.07.2022 00:39:00.000,1.21506,1.21506,1.21493,1.21497,76610000.6104
01.07.2022 00:40:00.000,1.21496,1.21526,1.21496,1.21520,28340000.1526
01.07.2022 00:41:00.000,1.21519,1.21538,1.21517,1.21528,21000000
01.07.2022 00:42:00.000,1.21528,1.21528,1.21510,1.21517,20649999.6185
01.07.2022 00:43:00.000,1.21517,1.21530,1.21517,1.21519,19069999.6948
01.07.2022 00:44:00.000,1.21518,1.21531,1.21516,1.21517,10250000
01.07.2022 00:45:00.000,1.21517,1.21530,1.21516,1.21530,16620000.8392
