Gmt time,Open,High,Low,Close,Volume
01.07.2022 01:17:00.000,1.04713,1.04715,1.04709,1.04712,41619998.9319
01.07.2022 01:18:00.000,1.04713,1.04729,1.04710,1.04727,80769996.6431
01.07.2022 01:19:00.000,1.04728,1.04728,1.04711,1.04722,50540000.9155
01.07.2022 01:20:00.000,1.04723,1.04726,1.04717,1.04722,21950000.7629
01.07.2022 01:21:00.000,1.04722,1.04727,1.04719,1.04720,23500000
01.07.2022 01:22:00.000,1.04723,1.04724,1.04716,1.04721,9039999.9619
01.07.2022 01:23:00.000,1.04722,1.04725,1.04707,1.04707,43290000.9155
01.07.2022 01:24:00.000,1.04704,1.04715,1.04704,1.04711,25809999.4659
01.07.2022 01:25:00.000,1.04712,1.04713,1.04708,1.04709,30629999.1608
01.07.2022 01:26:00.000,1.04708,1.04716,1.04708,1.04710,35880001.0681
01.07.2022 01:27:00.000,1.04709,1.04711,1.04705,1.04706,10430000.3052
01.07.2022 01:28:00.000,1.04707,1.04708,1.04693,1.04695,59939998.6267
01.07.2022 01:29:00.000,1.04695,1.04695,1.04683,1.04683,129380004.8828
01.07.2022 01:30:00.000,1.04684,1.04684,1.04668,1.04668,173820007.3242
01.07.2022 01:31:00.000,1.04669,1.04671,1.04639,1.04652,109239997.8638
01.07.2022 01:32:00.000,1.04653,1.04684,1.04641,1.04682,106699996.9482
01.07.2022 01:33:00.000,1.04684,1.04699,1.04680,1.04689,91370002.7466
01.07.2022 01:34:00.000,1.04689,1.04697,1.04676,1.04677,64940002.4414
01.07.2022 01:35:00.000,1.04676,1.04676,1.04661,1.04671,24059999.4659
01.07.2022 01:36:00.000,1.04671,1.04676,1.04663,1.04663,33080001.8311
01.07.2022 01:37:00.000,1.04663,1.04671,1.04659,1.04661,42069999.6948
01.07.2022 01:38:00.000,1.04664,1.04700,1.04664,1.04699,108510002.1362
01.07.2022 01:39:00.000,1.04698,1.04701,1.04687,1.04698,101290000.9155
01.07.2022 01:40:00.000,1.04699,1.04702,1.04693,1.04701,77690002.4414
01.07.2022 01:41:00.000,1.04700,1.04702,1.04691,1.04700,79230003.3569
01.07.2022 01:42:00.000,1.04700,1.04703,1.04684,1.04686,74209999.0845
01.07.2022 01:43:00.000,1.04685,1.04685,1.04658,1.04658,34950000.7629
01.07.2022 01:44:00.000,1.04661,1.04680,1.04661,1.04677,8979999.5422
01.07.2022 01:45:00.000,1.04678,1.04704,1.04676,1.04703,66660003.6621
01.07.2022 01:46:00.000,1.04702,1.04703,1.04683,1.04683,37770000.4578
01.07.2022 01:47:00.000,1.04679,1.04693,1.04676,1.04692,19069999.6948
01.07.2022 01:48:00.000,1.04692,1.04705,1.04689,1.04691,52610000.6104
01.07.2022 01:49:00.000,1.04690,1.04703,1.04689,1.04694,34240001.6785
01.07.2022 01:50:00.000,1.04693,1.04698,1.04675,1.04677,79040000.9155
01.07.2022 01:51:00.000,1.04677,1.04685,1.04672,1.04676,292170013.4277
01.07.2022 01:52:00.000,1.04675,1.04698,1.04673,1.04698,62580001.8311
01.07.2022 01:53:00.000,1.04698,1.04698,1.04687,1.04687,22680000.3052
01.07.2022 01:54:00.000,1.04689,1.04691,1.04679,1.04679,65069999.6948
01.07.2022 01:55:00.000,1.04679,1.04685,1.04677,1.04681,3329999.9237
01.07.2022 01:56:00.000,1.04683,1.04686,1.04674,1.04679,50330001.8311
01.07.2022 01:57:00.000,1.04680,1.04693,1.04680,1.04692,50799999.2371
01.07.2022 01:58:00.000,1.04694,1.04697,1.04690,1.04695,25229999.5422
01.07.2022 01:59:00.000,1.04696,1.04708,1.04690,1.04696,82239997.8638
01.07.2022 02:00:00.000,1.04695,1.04695,1.04673,1.04690,67319999.6948
