Gmt time,Open,High,Low,Close,Volume
01.07.2022 00:33:00.000,1.04700,1.04701,1.04691,1.04695,104150001.5259
01.07.2022 00:34:00.000,1.04698,1.04705,1.04695,1.04698,95379997.2534
01.07.2022 00:35:00.000,1.04699,1.04700,1.04692,1.04695,76839996.3379
01.07.2022 00:36:00.000,1.04694,1.04694,1.04676,1.04678,127980003.3569
01.07.2022 00:37:00.000,1.04679,1.04695,1.04675,1.04690,130070007.3242
01.07.2022 00:38:00.000,1.04690,1.04690,1.04678,1.04686,87959999.0845
01.07.2022 00:39:00.000,1.04686,1.04687,1.04670,1.04679,233380004.8828
01.07.2022 00:40:00.000,1.04678,1.04689,1.04678,1.04689,112339996.3379
01.07.2022 00:41:00.000,1.04689,1.04699,1.04683,1.04693,196009994.5068
01.07.2022 00:42:00.000,1.04693,1.04693,1.04681,1.04688,112129997.2534
01.07.2022 00:43:00.000,1.04689,1.04693,1.04683,1.04684,201509994.5068
01.07.2022 00:44:00.000,1.04684,1.04696,1.04684,1.04688,101819999.6948
01.07.2022 00:45:00.000,1.04688,1.04695,1.04687,1.04693,154389999.3896
01.07.2022 00:46:00.000,1.04694,1.04706,1.04694,1.04701,213639999.3896
01.07.2022 00:47:00.000,1.04700,1.04717,1.04700,1.04717,193389999.3896
01.07.2022 00:48:00.000,1.04718,1.04739,1.04718,1.04739,218369995.1172
01.07.2022 00:49:00.000,1.04736,1.04737,1.04727,1.04732,160410003.6621
01.07.2022 00:50:00.000,1.04730,1.04737,1.04719,1.04729,109970001.2207
01.07.2022 00:51:00.000,1.04732,1.04734,1.04724,1.04734,184410003.6621
01.07.2022 00:52:00.000,1.04734,1.04739,1.04727,1.04732,230509994.5068
01.07.2022 00:53:00.000,1.04733,1.04742,1.04727,1.04742,83349998.4741
01.07.2022 00:54:00.000,1.04743,1.04751,1.04724,1.04729,294029998.7793
01.07.2022 00:55:00.000,1.04732,1.04763,1.04729,1.04760,117730003.3569
01.07.2022 00:56:00.000,1.04761,1.04766,1.04741,1.04741,99559997.5586
01.07.2022 00:57:00.000,1.04740,1.04743,1.04731,1.04731,91370002.7466
01.07.2022 00:58:00.000,1.04732,1.04737,1.04724,1.04729,75690002.4414
01.07.2022 00:59:00.000,1.04729,1.04730,1.04713,1.04717,74010002.1362
01.07.2022 01:00:00.000,1.04715,1.04740,1.04715,1.04737,175059997.5586
01.07.2022 01:01:00.000,1.04737,1.04737,1.04696,1.04702,119110000.6104
01.07.2022 01:02:00.000,1.04702,1.04704,1.04680,1.04698,97879997.2534
01.07.2022 01:03:00.000,1.04697,1.04698,1.04679,1.04687,116529998.7793
01.07.2022 01:04:00.000,1.04687,1.04692,1.04680,1.04687,45729999.5422
01.07.2022 01:05:00.000,1.04688,1.04695,1.04684,1.04694,69599998.4741
01.07.2022 01:06:00.000,1.04694,1.04699,1.04686,1.04699,83660003.6621
01.07.2022 01:07:00.000,1.04699,1.04719,1.04699,1.04715,48979999.5422
01.07.2022 01:08:00.000,1.04716,1.04720,1.04709,1.04713,26399999.6185
01.07.2022 01:09:00.000,1.04711,1.04712,1.04686,1.04695,79309997.5586
01.07.2022 01:10:00.000,1.04696,1.04712,1.04693,1.04710,67660003.6621
01.07.2022 01:11:00.000,1.04708,1.04712,1.04697,1.04697,64849998.4741
01.07.2022 01:12:00.000,1.04699,1.04703,1.04695,1.04702,54849998.4741
01.07.2022 01:13:00.000,1.04701,1.04710,1.04695,1.04707,22200000.7629
01.07.2022 01:14:00.000,1.04707,1.04710,1.04690,1.04692,42360000.6104
01.07.2022 01:15:00.000,1.04691,1.04702,1.04691,1.04697,42830001.8311
01.07.2022 01:16:00.000,1.04696,1.04724,1.04693,1.04718,116580001.8311
01.07.2022 01:17:00.000,1.04719,1.04719,1.04714,1.04718,71809997.5586
01.07.2022 01:18:00.000,1.04718,1.04735,1.04716,1.04733,124040000.9155
01.07.2022 01:19:00.000,1.04733,1.04734,1.04716,1.04728,60490001.6785
01.07.2022 01:20:00.000,1.04729,1.04731,1.04723,1.04726,44930000.3052
01.07.2022 01:21:00.000,1.04725,1.04731,1.04724,1.04726,72160003.6621
01.07.2022 01:22:00.000,1.04725,1.04726,1.04721,1.04724,46490001.6785
01.07.2022 01:23:00.000,1.04726,1.04730,1.04712,1.04712,66290000.9155
